"Name","Color","Sentiment Score","Advertisement"
"Yairah","Orange","11.38695652173913","Hi Yairah, we hope you are happy with your product! Here's a 23% discount for the next time you decide to buy another Orange Portable Charger."
"Pattie Tatum","Blue","11.2","Hi Pattie Tatum, we hope you are happy with your product! Here's a 22% discount for the next time you decide to buy another Blue Portable Charger."
"PT","Black","11.175380952380952","Hi PT, we hope you are happy with your product! Here's a 22% discount for the next time you decide to buy another Black Portable Charger."
"Journeyman7x","Black","11.060438596491228","Hi Journeyman7x, we hope you are happy with your product! Here's a 22% discount for the next time you decide to buy another Black Portable Charger."
"BrokeBuck","Black","11.026609195402298","Hi BrokeBuck, we hope you are happy with your product! Here's a 22% discount for the next time you decide to buy another Black Portable Charger."
"Sharon B","Black","11.01675","Hi Sharon B, we hope you are happy with your product! Here's a 22% discount for the next time you decide to buy another Black Portable Charger."
"Amazon Customer","Black","11.00359649122807","Hi Amazon Customer, we hope you are happy with your product! Here's a 22% discount for the next time you decide to buy another Black Portable Charger."
"Mark Wojcik","Black","10.942172413793102","Hi Mark Wojcik, we hope you are happy with your product! Here's a 22% discount for the next time you decide to buy another Black Portable Charger."
"Random Review Guy","Black","10.939666666666666","Hi Random Review Guy, we hope you are happy with your product! Here's a 22% discount for the next time you decide to buy another Black Portable Charger."
"Charlotte","Black","10.934791666666667","Hi Charlotte, we hope you are happy with your product! Here's a 22% discount for the next time you decide to buy another Black Portable Charger."
